station_id,station_name,go_live_date,station_status
3320,Broad & Master,2023-03-16,Active
3321,20th & Cuthbert,2023-03-22,Active
3322,7th & Passyunk,2023-05-18,Active
3323,Manayunk Bridge,2023-04-11,Active
3324,Kelly Drive - Strawberry Mansion Bridge,2023-03-29,Active
3326,M.L.K. Drive - Strawberry Mansion Bridge,2023-04-05,Active
3327,York & Gaul,2023-06-13,Active
3328,Kelly Drive Grandstand,2023-03-30,Active
3329,Cresson & Levering,2023-04-27,Active
3330,Municipal Services Building,2023-06-21,Inactive
3331,Girard & Palmer,2023-06-21,Active
3332,32nd & Allegheny,2023-06-28,Active
3334,7th & Dickinson,2023-05-16,Active
3335,Main & Shurs,2023-06-01,Active
3336,36th & Filbert,2023-05-24,Active
3337,6th & Master,2023-05-10,Active
3338,54th & Cedar,2023-05-30,Active
3339,Pencoyd Bridge,2023-06-06,Inactive
3340,27th & Pennsylvania,2023-06-15,Active
3268,10th & Oxford,2023-09-21,Active
3325,Cedar & Norris,2023-07-31,Active
3333,18th & JFK Curbside,2023-07-18,Active
3341,York & Trenton,2023-07-11,Active
3342,22nd & Spring Garden,2023-07-13,Active
3343,21st & Washington,2023-07-20,Active
3344,56th & Chestnut,2023-07-27,Active
3345,5th & Spring Garden,2023-08-03,Active
3346,6th & Chestnut,2023-08-10,Active
3347,9th & Race,2023-08-17,Active
3348,27th & Master,2023-08-22,Active
3349,25th & Wharton,2023-08-31,Active
3350,Broad & Lehigh,2023-09-05,Active
3351,12th & Cambria,2023-09-21,Active
3353,"Broad & Ontario, Temple Hospital",2023-09-28,Active
3352,Broad & Allegheny,2023-12-01,Active
3354,58th & Spruce,2023-10-11,Active
3355,Broad & Snyder,2023-10-12,Active
3356,12th & Normandy,2023-10-17,Active
3357,10th & Packer,2023-10-19,Active
3358,"Thompson & Palmer, Adaire School",2023-10-24,Inactive
3359,17th & Locust,2023-11-01,Active
3360,Broad & Reed,2023-11-07,Active
3361,"18th & Fernon, Aquinas Center",2023-12-05,Active
3364,12th & Filbert,2023-11-20,Inactive
3365,"32nd & Baring, Drexel Park",2023-11-28,Active
3366,57th & Westminster,2023-12-08,Active
3368,23rd & Master,2023-12-20,Active
3362,13th & Locust,2024-01-08,Active
3363,13th & Spruce,2024-02-12,Active
3369,Ridge & Ferry,2024-01-04,Active
3370,Pencoyd Bridge,2024-01-05,Active
3371,9th & Arch,2024-01-11,Active
3372,24th & Jackson,2024-01-25,Active
3373,11th & Wood,2024-02-01,Active
3375,"Spring Garden Station, MFL",2024-01-30,Active
3376,Thompson & Franklin,2024-02-06,Active
3377,21st & Passyunk,2024-02-20,Active
3378,4th & Arch,2024-02-22,Active
3380,American & Master,2024-02-27,Inactive
3381,48th & Baltimore,2024-03-27,Active
3382,Walnut & Rittenhouse,2024-04-17,Active
3383,"3rd & Wildey, Liberty Lands Park",2024-04-23,Active
3374,26th & Poplar,2024-04-25,Active
